ref,pad,type,x_mm,y_mm,drill_mm
J9,-,np_thru_hole,142.505,110.0,3.3
J9,-,np_thru_hole,157.495,110.0,3.3
J9,1,thru_hole,157.495,137.165,1.02
J9,2,thru_hole,142.505,137.165,1.02
J3,1,thru_hole,87.258,126.014,1.0
J3,2,thru_hole,89.313,127.507,1.0
J3,3,thru_hole,91.368,129.0,1.0
J3,4,thru_hole,93.423,130.493,1.0
J3,5,thru_hole,95.478,131.986,1.0
J3,6,thru_hole,97.533,133.479,1.0
U3,1,thru_hole,191.4,124.5,1.0
U3,2,thru_hole,191.4,121.96,1.0
U3,3,thru_hole,191.4,119.42,1.0
U3,4,thru_hole,191.4,116.88,1.0
U3,5,thru_hole,191.4,114.34,1.0
U3,6,thru_hole,191.4,111.8,1.0
U3,7,thru_hole,191.4,109.26,1.0
U3,8,thru_hole,191.4,106.72,1.0
U3,9,thru_hole,191.4,104.18,1.0
U3,10,thru_hole,191.4,101.64,1.0
U3,11,thru_hole,191.4,99.1,1.0
U3,12,thru_hole,191.4,96.56,1.0
U3,13,thru_hole,191.4,94.02,1.0
U3,14,thru_hole,191.4,91.48,1.0
TP1,1,thru_hole,110.9,66.0,1.0
J5,1,thru_hole,187.872,67.497,1.0
J5,2,thru_hole,185.871,69.061,1.0
J5,3,thru_hole,189.436,69.498,1.0
J5,4,thru_hole,187.435,71.062,1.0
J5,5,thru_hole,191.0,71.5,1.0
J5,6,thru_hole,188.998,73.064,1.0
SW9,-,np_thru_hole,153.4,135.5,0.9
SW9,-,np_thru_hole,146.6,135.5,0.9
LS1,1,thru_hole,100.0,124.0,0.8
LS1,2,thru_hole,105.0,124.0,0.8
J7,-,np_thru_hole,213.539,112.463,0.65
J7,-,np_thru_hole,211.951,118.02,0.65
U1,41_10,thru_hole,182.395,101.95,0.3
U1,41_11,thru_hole,182.395,103.35,0.3
U1,41_12,thru_hole,180.795,104.95,0.3
U1,41_13,thru_hole,179.395,104.95,0.3
U1,41_14,thru_hole,177.795,103.35,0.3
U1,41_15,thru_hole,177.795,101.95,0.3
U1,41_16,thru_hole,179.395,100.25,0.3
U1,41_17,thru_hole,180.795,100.25,0.3
